2025-06-20 15:16:19 | INFO | PID:1556 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:16:19 | INFO | PID:1556 | Connection attempt 1 of 3
2025-06-20 15:16:20 | INFO | PID:1556 | Successfully established RabbitMQ connection
2025-06-20 15:16:20 | INFO | PID:1556 | Successfully created channel
2025-06-20 15:16:20 | INFO | PID:1556 | Queue 'article-request-queue' already exists
2025-06-20 15:19:49 | INFO | PID:7612 | Creating queue with RabbitMQ host: localhost
2025-06-20 15:19:49 | INFO | PID:7612 | Attempting to create queue: article-request-queue
2025-06-20 15:19:49 | INFO | PID:7612 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:19:49 | INFO | PID:7612 | Connection attempt 1 of 3
2025-06-20 15:19:50 | INFO | PID:7612 | Successfully established RabbitMQ connection
2025-06-20 15:19:50 | INFO | PID:7612 | Successfully created channel
2025-06-20 15:19:50 | INFO | PID:7612 | Queue 'article-request-queue' does not exist, creating it
2025-06-20 15:19:50 | INFO | PID:7612 | Queue 'article-request-queue' and its DLQ created successfully
2025-06-20 15:25:24 | INFO | PID:7612 | Creating queue with RabbitMQ host: localhost
2025-06-20 15:25:24 | INFO | PID:7612 | Attempting to create queue: article-request-queue
2025-06-20 15:25:24 | INFO | PID:7612 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:25:24 | INFO | PID:7612 | Connection attempt 1 of 3
2025-06-20 15:25:24 | INFO | PID:7612 | Successfully established RabbitMQ connection
2025-06-20 15:25:24 | INFO | PID:7612 | Successfully created channel
2025-06-20 15:25:24 | INFO | PID:7612 | Queue 'article-request-queue' already exists
2025-06-20 15:43:12 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:43:12 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 15:43:12 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 15:43:25 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:43:25 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 15:43:25 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 15:43:27 | INFO | PID:25264 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-20 15:43:27 | INFO | PID:25264 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:43:27 | INFO | PID:25264 | Connection attempt 1 of 3
2025-06-20 15:43:27 | INFO | PID:25264 | Successfully established RabbitMQ connection
2025-06-20 15:43:27 | INFO | PID:25264 | Created new channel
2025-06-20 15:43:27 | ERROR | PID:25264 | Error starting worker: (406, "PRECONDITION_FAILED - inequivalent arg 'x-message-ttl' for queue 'article-request-queue' in vhost '/': received none but current is the value '1800000' of type 'signedint'")
2025-06-20 15:44:11 | INFO | PID:34108 | Creating queue with RabbitMQ host: localhost
2025-06-20 15:44:11 | INFO | PID:34108 | Attempting to create queue: article-request-queue
2025-06-20 15:44:11 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:44:11 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 15:44:11 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 15:44:11 | INFO | PID:34108 | Successfully created channel
2025-06-20 15:44:11 | INFO | PID:34108 | Queue 'article-request-queue' already exists
2025-06-20 15:44:28 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:44:28 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 15:44:28 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 15:44:29 | INFO | PID:17148 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-20 15:44:29 | INFO | PID:17148 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:44:29 | INFO | PID:17148 | Connection attempt 1 of 3
2025-06-20 15:44:30 | INFO | PID:17148 | Successfully established RabbitMQ connection
2025-06-20 15:44:30 | INFO | PID:17148 | Created new channel
2025-06-20 15:44:30 | ERROR | PID:17148 | Error starting worker: (406, "PRECONDITION_FAILED - inequivalent arg 'x-message-ttl' for queue 'article-request-queue' in vhost '/': received none but current is the value '1800000' of type 'signedint'")
2025-06-20 15:45:30 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:45:30 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 15:45:30 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 15:45:30 | INFO | PID:12160 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-20 15:45:30 | INFO | PID:12160 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:45:30 | INFO | PID:12160 | Connection attempt 1 of 3
2025-06-20 15:45:31 | INFO | PID:12160 | Successfully established RabbitMQ connection
2025-06-20 15:45:31 | INFO | PID:12160 | Created new channel
2025-06-20 15:45:31 | ERROR | PID:12160 | Error starting worker: (406, "PRECONDITION_FAILED - inequivalent arg 'x-message-ttl' for queue 'article-request-queue' in vhost '/': received none but current is the value '1800000' of type 'signedint'")
2025-06-20 15:58:44 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:58:44 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 15:58:44 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 15:58:45 | INFO | PID:22308 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-20 15:58:45 | INFO | PID:22308 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:58:45 | INFO | PID:22308 | Connection attempt 1 of 3
2025-06-20 15:58:46 | INFO | PID:22308 | Successfully established RabbitMQ connection
2025-06-20 15:58:46 | INFO | PID:22308 | Created new channel
2025-06-20 15:58:46 | ERROR | PID:22308 | Error starting worker: (406, "PRECONDITION_FAILED - inequivalent arg 'x-message-ttl' for queue 'article-request-queue' in vhost '/': received none but current is the value '1800000' of type 'signedint'")
2025-06-20 16:16:32 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 16:16:32 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 16:16:33 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 16:16:35 | INFO | PID:31176 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-20 16:16:35 | INFO | PID:31176 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 16:16:35 | INFO | PID:31176 | Connection attempt 1 of 3
2025-06-20 16:16:35 | INFO | PID:31176 | Successfully established RabbitMQ connection
2025-06-20 16:16:35 | INFO | PID:31176 | Created new channel
2025-06-20 16:16:35 | ERROR | PID:31176 | Error starting worker: (406, "PRECONDITION_FAILED - inequivalent arg 'x-message-ttl' for queue 'article-request-queue' in vhost '/': received none but current is the value '1800000' of type 'signedint'")
2025-06-20 16:19:03 | INFO | PID:34108 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 16:19:03 | INFO | PID:34108 | Connection attempt 1 of 3
2025-06-20 16:19:03 | INFO | PID:34108 | Successfully established RabbitMQ connection
2025-06-20 16:19:05 | INFO | PID:23536 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-20 16:19:05 | INFO | PID:23536 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 16:19:05 | INFO | PID:23536 | Connection attempt 1 of 3
2025-06-20 16:19:05 | INFO | PID:23536 | Successfully established RabbitMQ connection
2025-06-20 16:19:05 | INFO | PID:23536 | Created new channel
2025-06-20 16:19:05 | ERROR | PID:23536 | Error starting worker: (406, "PRECONDITION_FAILED - inequivalent arg 'x-message-ttl' for queue 'article-request-queue' in vhost '/': received none but current is the value '1800000' of type 'signedint'")
